"drug","branchId","inventory_cost","inventory_last_edited","batch_prices"
"Aspirin 100mg tab","98c545f3-38b2-4926-8ca1-a7b854427518","402","2026-06-01","1220"
"Lofral_10mg","98c545f3-38b2-4926-8ca1-a7b854427518","3438","2026-03-23","2775 | 2700"
"Apmol 500 amp","98c545f3-38b2-4926-8ca1-a7b854427518","174","2026-06-01","225 | 250"
"Duspaline 135mg","98c545f3-38b2-4926-8ca1-a7b854427518","792","2026-03-26","2250 | 1200"
"DELCABRIN 0.5MG","98c545f3-38b2-4926-8ca1-a7b854427518","2414","2026-03-29","4850 | 4800 | 4631"
"Benzyl benzoate 25% 100ml Lotion","98c545f3-38b2-4926-8ca1-a7b854427518","1780","2026-03-30","2000"
"Concor 2.5mg","98c545f3-38b2-4926-8ca1-a7b854427518","571","2026-06-07","2560"
"Aspin 100mg tab","98c545f3-38b2-4926-8ca1-a7b854427518","306","2026-03-24","1220 | 1210"
"Sinus A","98c545f3-38b2-4926-8ca1-a7b854427518","5150","2026-03-25","5553 | 6240"
"Chlomal 4mg tab","98c545f3-38b2-4926-8ca1-a7b854427518","13","2026-03-27","1300"
" DR. James  Whitening soap ","98c545f3-38b2-4926-8ca1-a7b854427518","486","2026-05-12","1250"
"Brinzox drop","98c545f3-38b2-4926-8ca1-a7b854427518","7000","2026-04-02","5486"
"amoklavin-bid 625mg tab","98c545f3-38b2-4926-8ca1-a7b854427518","0","2026-04-02","1043"
"Glucovance500\5","98c545f3-38b2-4926-8ca1-a7b854427518","2003","2026-04-06","4010 | 4005"
"co-anginet 160\12.5","98c545f3-38b2-4926-8ca1-a7b854427518","3292","2026-04-09","1646"
"Synjardy 12.5\1000mg","98c545f3-38b2-4926-8ca1-a7b854427518","6090","2026-04-12","10600"
"Glucovance 500\2.5","98c545f3-38b2-4926-8ca1-a7b854427518","6684","2026-04-15","4200 | 3342 | 3480"
"Rovas 10mg","98c545f3-38b2-4926-8ca1-a7b854427518","955","2026-04-19","1955 | 1909"
"Janumet50\1000","98c545f3-38b2-4926-8ca1-a7b854427518","2902","2026-07-05","4500"
"Setrepsils hony&lemon","98c545f3-38b2-4926-8ca1-a7b854427518","2415","2026-04-27","483"
"paraceta-mr 1000","98c545f3-38b2-4926-8ca1-a7b854427518","800","2026-05-04","927"
"LIPOZAL 40","98c545f3-38b2-4926-8ca1-a7b854427518","3000","2026-05-30","3579"
"Glucophage 750xr","98c545f3-38b2-4926-8ca1-a7b854427518","2063","2026-06-01","4250"
"spasmomen 40mg tab","98c545f3-38b2-4926-8ca1-a7b854427518","698","2026-06-01","3500"
"Nolvadex-d","98c545f3-38b2-4926-8ca1-a7b854427518","15933","2026-06-22","8500"
"Flagimel 500mg","98c545f3-38b2-4926-8ca1-a7b854427518","23","2026-06-10","500"
"primolut N","98c545f3-38b2-4926-8ca1-a7b854427518","779","2026-06-13","3950"
"libroxide 5","98c545f3-38b2-4926-8ca1-a7b854427518","39","2026-06-16","396"
"Magnessium glycerophosphate","98c545f3-38b2-4926-8ca1-a7b854427518","16740","2026-06-17","5580"
"Nixvom tab","98c545f3-38b2-4926-8ca1-a7b854427518","96","2026-06-20","1250"
"Captopril 50-kindi","98c545f3-38b2-4926-8ca1-a7b854427518","193","2026-06-22","385"
"Zeloxim amp","98c545f3-38b2-4926-8ca1-a7b854427518","2060","2026-06-25","686"
"Ryzodeg flexpen","98c545f3-38b2-4926-8ca1-a7b854427518","146400","2026-06-25","29200"
"Novrapid flexpen","98c545f3-38b2-4926-8ca1-a7b854427518","62510","2026-06-25","12500"
"Diamicron MR 60mg","98c545f3-38b2-4926-8ca1-a7b854427518","5816","2026-06-27","2900"
"Glucophage 500Xr","98c545f3-38b2-4926-8ca1-a7b854427518","5490","2026-06-27","2745"
"Rodogyl tab","98c545f3-38b2-4926-8ca1-a7b854427518","7000","2026-06-28","3500"
"Glucophage 500mg","98c545f3-38b2-4926-8ca1-a7b854427518","2500","2026-07-05","1764 | 1775"
"Amaryl2mg tab","98c545f3-38b2-4926-8ca1-a7b854427518","10029","2026-07-05","5015 | 5010 | 5014"
"Pregnacare plus","98c545f3-38b2-4926-8ca1-a7b854427518","13038","2026-07-05","6600"
