barcode,tradeName,unitsPerPack,tier,why,batches,quantities,lastStripCost,derivedPacketPrice
RENNIE,"RENNIE",40,مرجح,"3 دفعات كلها بنفس الكمية",3,"40|40|40",666,26650
5060464501470,"Folic Acid 5mg tab",6,مرجح,"3 دفعات كلها بنفس الكمية",3,"6|6|6",577,3460
300651437416,"Systane Hydration eye drop",6,مرجح,"3 دفعات كلها بنفس الكمية",3,"6|6|6",3160,18960
Ketro amp,"Ketro amp",20,مرجح,"3 دفعات كلها بنفس الكمية",3,"20|20|20",1534,30678
5060565106215,"Revuele  vitamin C 15% serum",1,مرجح-ضعيف,"5 دفعات بنفس الكمية لكنها رقم صغير",5,"1|1|1|1|1",8553,8553
4019338607757,"Uralyt-U 280g powder",1,مرجح-ضعيف,"5 دفعات بنفس الكمية لكنها رقم صغير",5,"1|1|1|1|1",20452,20452
8435080005669,"Acuaiss 15ml eye drop disop",1,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"1|1|1|1",14840,14840
8699514093367,"Lifta 5mg tab",2,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"2|2|2|2",13294,26588
3337872411991,"Laroche-posay 400ml",1,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"1|1|1|1",22500,22500
Ozempic 1mg,"Ozempic 1mg",1,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"1|1|1|1",147136,147136
5055565788820,"Spironolactone 25mg accord",2,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"2|2|2|2",2963,5925
677683070363,"Pms-risdronate",1,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"1|1|1|1",14111,14111
6291100080472,"Ginsavit 24cap. julphar",2,مرجح-ضعيف,"4 دفعات بنفس الكمية لكنها رقم صغير",4,"2|2|2|2",4280,8560
4260095681454,"Dilatrend 25mg ",3,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"3|3|3",6757,20271
3582910083122,"Bi-Tildiem sr 90mg tab",2,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"2|2|2",4455,8909
8901111081228,"Sacuzac 100mg tab",3,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"3|3|3",9163,27488
8901111060414,"Lastavin AM plus 10/160/12.5mg tab",3,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"3|3|3",3524,10573
Ronic eye drop,"Ronic eye drop",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",5486,5486
5298001810239,"Eklipo 20mg/10mg tab",3,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"3|3|3",7100,21300
6251106804977,"revma 20mg",4,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"4|4|4",9655,38618
9319871000639,"White glo coffe &tea",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",5216,5216
8680923353081,"dr.Clinic sun creem 50+Max oil",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",9600,9600
5054563093592,"Driclor 20ml",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",16655,16655
6263331112475,"Kapoot lubricant",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",2970,2970
8699153010237,"Elma Anti-lice nits shampoo ",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",2934,2934
6221032230157,"Picolax 15ml oral drop",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",1661,1661
9314839002618,"QV skin lotion 250ml",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",17712,17712
8433042020545,"Nucleo cmp amp",3,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"3|3|3",5454,16362
7640153080851,"Zamur 250mg tab",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",9375,9375
5000456027663,"Forxiga 10mg tab",2,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"2|2|2",26578,53156
8901117086197,"foracort inhaler",2,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"2|2|2",14340,28680
8005911158798,"Memoria syr",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",18815,18815
3582910077077,"Xatral XL10mg",2,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"2|2|2",15000,30000
d742d6f11fdb14dd1201595666e9e6f3944f8642586869deb5a8188dd4be0ea2430981f9aa60a676,"nasonex spray ",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",10980,10980
6251106807428,"Leena 5mg tab",3,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"3|3|3",7295,21884
749921062536,"stevia sachet 50mg",1,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"1|1|1",8295,8295
6291109121893,"بندول اكسترا",4,مرجح-ضعيف,"3 دفعات بنفس الكمية لكنها رقم صغير",3,"4|4|4",2250,8998
